X,Y,address,business_name,business_type,precinct,live_date,ObjectId
-83.071121,42.432799,3040 E 7 Mile Rd,New Mo-Town Pharmacy,Retail,11,2018/08/01 04:00:00+00,334
-83.267556,42.442764,22645 W 8 Mile Rd,Citgo,Retail,8,2018/08/01 04:00:00+00,335
-82.943802,42.4239,11200 Morang Dr,Holiday House,Retail,9,2018/08/01 04:00:00+00,336
-83.218593,42.429759,17819 W 7 Mile Rd,Mr. Corned Beef,Retail,8,2018/08/05 04:00:00+00,337
-83.130303,42.343937,6011 Livernois Ave,Valero,Retail,4,2018/10/22 04:00:00+00,338
-83.113585,42.377922,2690 W Boston Blvd,Edison West Apartments,Residential,10,2018/08/07 04:00:00+00,339
-83.241696,42.397519,10711 W Outer Dr,Grace Refuge Chapel,Services,6,2018/08/07 04:00:00+00,340
-83.130111,42.389507,13330 Dexter Ave,Clark,Retail,10,2018/08/07 04:00:00+00,341
-83.174758,42.416381,13125 W McNichols Rd,The First Beauty,Services,12,2018/08/07 04:00:00+00,342
-82.974827,42.434782,14400 E 7 Mile Rd,Valero,Retail,9,2018/08/13 04:00:00+00,343
-83.100098,42.359856,6571 Linwood St,Valero,Retail,3,2018/08/14 04:00:00+00,344
-83.198874,42.386716,15525 Schoolcraft St,Clark,Retail,6,2018/08/14 04:00:00+00,345
-83.023913,42.340606,662 Chene St,Dollar Center,Retail,7,2018/08/15 04:00:00+00,346
-83.217974,42.370339,18211 Plymouth Rd,New Providence Baptist Church,Services,6,2018/08/17 04:00:00+00,347
-83.019605,42.33875,2760 E Jefferson Ave,Gordon Food Service,Retail,7,2018/08/20 04:00:00+00,348
-82.970351,42.445522,15130 Gratiot Ave,Marathon,Retail,9,2018/08/24 04:00:00+00,349
-83.063553,42.331677,1266 Michigan Ave,Brooklyn Street Local,Retail,3,2018/08/28 04:00:00+00,350
-83.06299,42.331808,1236 Michigan Ave,Detroit Institute of Bagels,Retail,3,2018/08/28 04:00:00+00,351
-83.063276,42.331733,1254 Michigan Ave,PJ Lager House,Retail,3,2018/08/28 04:00:00+00,352
-83.065815,42.3317,1400 Michigan Ave,Ottava Via,Retail,3,2018/08/28 04:00:00+00,353
-83.066716,42.331697,1460 Michigan Ave,McShane's,Retail,3,2018/08/28 04:00:00+00,354
-82.975777,42.389783,5000 Conner St,Villages of Parkside,Residential,5,2018/08/30 04:00:00+00,355
-83.125418,42.397586,14127 Linwood St,Clark,Retail,10,2018/09/01 04:00:00+00,356
-83.222088,42.402484,18428 Grand River Ave,Grand Mercy Pharmacy,Retail,8,2018/09/01 04:00:00+00,357
-82.936131,42.389889,15935 Mack Ave,Mack Mart BP,Retail,5,2018/09/07 04:00:00+00,358
-83.169846,42.373383,12820 Plymouth Rd,Western Liquor,Retail,2,2018/09/07 04:00:00+00,359
-83.145782,42.275375,2626 S Schaefer Hwy,D’s Coney Island,Retail,4,2018/09/11 04:00:00+00,360
-83.052739,42.347653,3411 Brush St,Chili Mustard Onions,Retail,3,2018/09/19 04:00:00+00,361
-83.113982,42.420335,819 Covington Dr,811 Covington Apartments,Residential,12,2018/09/19 04:00:00+00,362
-83.240386,42.40928,20255 Grand River Ave,Coin-O-Matic,Services,8,2018/09/19 04:00:00+00,363
-82.986897,42.358031,1141 Holcomb St,"1141 Holcomb, Eastpointe Trust Apartments",Residential,7,2018/09/22 04:00:00+00,364
-82.986512,42.358441,1152 Holcomb St,"1152 Holcomb, Eastpointe Trust Apartments",Residential,7,2018/09/22 04:00:00+00,365
-82.986606,42.358588,1160 Holcomb St,"1160 Holcomb, Eastpointe Trust Apartments",Residential,7,2018/09/22 04:00:00+00,366
-82.986343,42.358238,1130 Holcomb St,"1130 Holcomb, Eastpointe Trust Apartments",Residential,7,2018/09/22 04:00:00+00,367
-82.997909,42.358973,8130 Kercheval St,Destination1905 Bar,Retail,7,2018/09/27 04:00:00+00,368
-83.201232,42.386657,15735 Schoolcraft Rd,Special Way Market,Retail,6,2018/09/30 04:00:00+00,369
-82.970074,42.445988,15170 Gratiot Ave,MBM Check Cashing,Services,9,2018/10/03 04:00:00+00,370
-83.220094,42.429705,18149 W 7 Mile Rd,Mobil,Retail,8,2018/10/04 04:00:00+00,371
-83.173338,42.431446,12908 W 7 Mile Rd,Detroit Cabinet Manufacturing,Services,12,2018/10/05 04:00:00+00,372
-82.974505,42.427283,17100 Chalmers St,Camp Restore Detroit,Services,9,2018/10/05 04:00:00+00,373
-83.260362,42.417937,22222 Grand River Ave,Wendy's,Retail,8,2018/10/09 04:00:00+00,374
-82.979275,42.389855,5201 Conner St,Omni Continuing Care,Residential,5,2018/10/11 04:00:00+00,375
-82.999374,42.448624,12344 E 8 Mile Rd,Cheers Liquor,Retail,9,2018/10/11 04:00:00+00,376
-83.110938,42.382195,2470 Collingwood St,Life Remodeled,Services,10,2018/10/12 04:00:00+00,377
-83.171507,42.41696,12800 W McNichols Rd,Mobil,Retail,12,2018/10/12 04:00:00+00,378
-83.012202,42.361821,695 E Grand Blvd,Qualicare Nursing Home,Residential,7,2018/10/15 04:00:00+00,379
-83.092197,42.324215,2055 Vinewood St,Vinewood Apartments,Residential,4,2018/10/16 04:00:00+00,380
-83.159173,42.409889,8910 Puritan St,Sip Sip Liquor Shop,Retail,12,2018/10/18 04:00:00+00,381
-83.136204,42.402909,3734 Fenkell St,Champion Tire Automotive,Services,10,2018/10/18 04:00:00+00,382
-83.101485,42.31762,5459 W Vernor Hwy,Alliance Catholic Credit Union,Services,4,2018/10/18 04:00:00+00,383
-82.97063,42.413759,10047 Chalmers St,STS Market,Retail,9,2018/10/22 04:00:00+00,384
-83.215675,42.358224,17690 Joy Rd,Shell,Retail,6,2018/10/22 04:00:00+00,385
-83.107339,42.417944,300 W McNichols Rd,New Light Recovery Center,Services,12,2018/10/24 04:00:00+00,386
-82.976606,42.435384,14300 Gratiot Ave,Hookah Orange Heads,Retail,9,2018/10/25 04:00:00+00,387
